Image,PSNR,SSIM,Original_size,Compressed_size(MB),Compression_ratio
leaves_iso_200,37.60,0.9743,18048017,4401455,4.10046609587057
nightshot_iso_1600,38.13,0.9556,22127633,6139542,3.604117864166415
spider_web,40.09,0.9542,36363281,3306938,10.996057682363563
flower_foveon,37.41,0.9512,10287665,997909,10.309221582328648
hdr,38.23,0.9469,18874385,1765003,10.693684373341009
nightshot_iso_100,39.34,0.9666,22127633,3463810,6.388235209206048
cathedral,38.55,0.9635,18048017,4618936,3.9073970715333575
big_tree,35.21,0.9159,83101217,21100486,3.9383555904826077
artificial,39.20,0.9791,18874385,529859,35.62152383936104
deer,36.82,0.9347,32032706,10576869,3.0285622333036364
fireworks,43.64,0.9924,22127633,3779814,5.85415922582434
bridge,34.86,0.9216,33392120,8046803,4.149737479592827
big_building,37.56,0.9523,117158993,24896698,4.705804480578108
leaves_iso_1600,36.33,0.9653,18048017,5092664,3.5439245550069667
