Image,PSNR,SSIM,Original_size,Compressed_size(MB),Compression_ratio
leaves_iso_200,31.80,0.8392,18048017,177107,101.90459439773696
nightshot_iso_1600,30.89,0.5255,22127633,96819,228.54639068777823
spider_web,40.24,0.9438,36363281,70581,515.1992887604313
flower_foveon,39.06,0.9452,10287665,24865,413.74080032173737
hdr,38.56,0.9336,18874385,51402,367.19164623944596
nightshot_iso_100,37.97,0.9279,22127633,68596,322.57905708787683
cathedral,32.79,0.7466,18048017,91392,197.4791776085434
big_tree,30.93,0.6132,83101217,503988,164.88729295141948
artificial,39.34,0.9663,18874385,67968,277.6951653719397
deer,30.67,0.4514,32032706,79536,402.7447445182056
fireworks,39.29,0.9409,22127633,62781,352.45747917363536
bridge,30.86,0.6334,33392120,194962,171.2750176957561
big_building,31.76,0.7773,117158993,768853,152.38152546715693
leaves_iso_1600,30.41,0.7317,18048017,181574,99.3975844559243
