Image,PSNR,SSIM,Original_size,Compressed_size(MB),Compression_ratio
leaves_iso_200,37.99,0.9573,18048017,11314503,1.595122384076437
nightshot_iso_1600,36.55,0.8880,22127633,14137004,1.5652278941139155
spider_web,48.67,0.9931,36363281,12310022,2.9539574340322057
flower_foveon,46.22,0.9913,10287665,3727042,2.7602761117261356
hdr,44.25,0.9821,18874385,7811581,2.416205503085739
nightshot_iso_100,44.61,0.9840,22127633,8884191,2.490675065405505
cathedral,38.59,0.9349,18048017,10959088,1.6468539170412722
big_tree,35.54,0.8980,83101217,55915171,1.4862016070736868
artificial,46.28,0.9912,18874385,1849641,10.204350465847156
deer,34.31,0.7662,32032706,23005299,1.3924055496953116
fireworks,45.34,0.9905,22127633,6501067,3.4036925015539756
bridge,36.21,0.9175,33392120,22555844,1.4804198858619522
big_building,38.28,0.9526,117158993,72159532,1.6236107656574048
leaves_iso_1600,36.18,0.9284,18048017,12709718,1.4200171081687256
