Image,PSNR,SSIM,Original_size,Compressed_size(MB),Compression_ratio
leaves_iso_200,33.45,0.9064,18048017,2224135,8.114622988262854
nightshot_iso_1600,32.48,0.7244,22127633,1824384,12.12882430453238
spider_web,37.98,0.9627,36363281,995662,36.52171218746924
flower_foveon,36.95,0.9379,10287665,347938,29.567523524306054
hdr,36.89,0.9482,18874385,702312,26.874644032851496
nightshot_iso_100,36.71,0.9420,22127633,866105,25.548441586181813
cathedral,33.87,0.8370,18048017,1324879,13.622388912496914
big_tree,32.02,0.7548,83101217,6798167,12.224062309737317
artificial,38.17,0.9588,18874385,893708,21.119185461023065
deer,31.09,0.5634,32032706,3271273,9.792122516219221
fireworks,39.53,0.9357,22127633,721463,30.670502853230172
bridge,32.27,0.7860,33392120,3377800,9.885759962105512
big_building,33.89,0.9113,117158993,10024928,11.68676652839801
leaves_iso_1600,32.11,0.8538,18048017,2491638,7.243434640184489
