Image,PSNR,SSIM,Original_size,Compressed_size(MB),Compression_ratio
leaves_iso_200,28.81,0.3463,18048017,60452,298.55119764441207
nightshot_iso_1600,30.44,0.5226,22127633,59843,369.7614257306619
spider_web,35.49,0.9392,36363281,60503,601.0161644877113
flower_foveon,34.84,0.9135,10287665,59631,172.5220942127417
hdr,33.54,0.8666,18874385,60234,313.351014377262
nightshot_iso_100,33.80,0.8324,22127633,59837,369.79850259872654
cathedral,30.72,0.5696,18048017,60209,299.7561328040658
big_tree,29.54,0.4662,83101217,60328,1377.4900046412943
artificial,32.93,0.8004,18874385,1275472,14.797961068529924
deer,30.77,0.4910,32032706,59626,537.2271492302016
fireworks,35.92,0.8316,22127633,58500,378.25013675213677
bridge,29.75,0.4334,33392120,60281,553.9410427829664
big_building,29.52,0.5064,117158993,60733,1929.0829203233827
leaves_iso_1600,28.61,0.2888,18048017,60466,298.4820725697086
